benchmark,kind,profile,scenario,frontend,backend,linker,borrowck,typeck,metadata
ahash-0.8.11,lib,Debug,IncrFull,1499683976,254410825,1039802,129790555,411368796,190976350
ahash-0.8.11,lib,Check,IncrPatched0,498095655,67978020,14457,307722,88246683,106131651
ahash-0.8.11,lib,Opt,IncrPatched0,522795840,84206836,1057891,316033,88445662,123993642
ahash-0.8.11,lib,Debug,IncrPatched0,536394348,75253980,994405,293895,88538412,138356847
ahash-0.8.11,lib,Opt,IncrFull,1503272164,255498958,983021,129356171,411213260,191651370
ahash-0.8.11,lib,Debug,IncrUnchanged,392428591,74191898,1111320,0,70236000,132556222
ahash-0.8.11,lib,Check,IncrFull,1377778246,161801346,15085,129318177,414960329,130172388
ahash-0.8.11,lib,Opt,IncrUnchanged,381571017,79695556,1096653,0,70147860,122763941
ahash-0.8.11,lib,Debug,Full,1057849363,231979238,1010468,98456054,245063923,130079430
ahash-0.8.11,lib,Check,IncrUnchanged,367425854,45563056,14248,0,69853617,103961463
ahash-0.8.11,lib,Check,Full,971780828,159342991,16203,99955202,246104632,84313972
ahash-0.8.11,lib,Opt,Full,1124891791,294282140,1186749,98976315,246383581,192064063
aho-corasick-1.1.2,lib,Opt,IncrUnchanged,970120459,843299135,8098135,0,147359366,251329215
aho-corasick-1.1.2,lib,Opt,IncrPatched0,1159951625,854984267,8040445,297735,191572665,260177727
aho-corasick-1.1.2,lib,Debug,IncrPatched0,1613963466,446157121,8751991,306535,194870234,712308956
aho-corasick-1.1.2,lib,Debug,Full,4244961120,2596978810,8510060,530481856,566440284,835615699
aho-corasick-1.1.2,lib,Debug,IncrFull,5476233734,2914430575,9124177,621667561,901300615,1067347918
aho-corasick-1.1.2,lib,Check,IncrFull,4275281713,564197738,16483,620266238,902291030,226792664
aho-corasick-1.1.2,lib,Check,Full,3317395218,548062370,18159,527056012,576218523,153095661
aho-corasick-1.1.2,lib,Debug,IncrUnchanged,1410149593,453071160,8993084,0,147119248,693516674
aho-corasick-1.1.2,lib,Check,IncrUnchanged,889307059,98359819,14806,0,146979913,197087213
aho-corasick-1.1.2,lib,Check,IncrPatched0,1087423879,113403002,25772,310935,190812924,214590149
aho-corasick-1.1.2,lib,Opt,IncrFull,4809278246,4148950026,8705686,615236053,895349774,431288615
aho-corasick-1.1.2,lib,Opt,Full,4384896590,3801305372,8671255,525249651,566992599,999538571
anyhow-1.0.81,lib,Check,IncrFull,681771288,153868465,14876,67897350,224143022,37243596
anyhow-1.0.81,lib,Debug,Full,596471707,406320317,1293746,54755120,122149411,113015315
anyhow-1.0.81,lib,Check,IncrPatched0,200741963,42857045,14387,319734,48020995,35061954
anyhow-1.0.81,lib,Check,Full,463482669,144343188,14877,54664187,122584733,24703256
anyhow-1.0.81,lib,Opt,IncrFull,779078879,505333439,944538,67704672,224758397,65565835
anyhow-1.0.81,lib,Debug,IncrUnchanged,256303826,83039088,1904930,0,41385832,111315510
anyhow-1.0.81,lib,Opt,Full,594067481,403390113,864918,54878121,122607781,109365463
anyhow-1.0.81,lib,Opt,IncrUnchanged,184266678,138370962,985745,0,41376054,39628757
anyhow-1.0.81,lib,Check,IncrUnchanged,168486593,16463693,13899,0,41383038,32468106
anyhow-1.0.81,lib,Debug,IncrFull,882873215,508418202,1923997,68249848,226368315,163957644
anyhow-1.0.81,lib,Opt,IncrPatched0,215469883,139020629,894741,332446,47776060,41339388
anyhow-1.0.81,lib,Debug,IncrPatched0,288984880,83283393,1798840,310585,47820689,114333366
atty-0.2.14,lib,Opt,IncrPatched0,23144392,28910514,265398,317569,6598985,2412679
